State District,Crop,Rendimento_Medio,Rendimento_Std_Dev,Contagem_Registros,Coef_Variacao_Rendimento (%)
RAJASTHAN - JAISALMER,WHEAT,1.9513636363636364,0.7800262233354139,22,39.97339136589589
RAJASTHAN - DUNGARPUR,MAIZE,0.9600000000000001,0.383207018526043,22,39.91739776312947
WEST BENGAL - JALPAIGURI,MAIZE,3.013695652173913,1.2020544611356976,46,39.886391987478966
MADHYA PRADESH - BHIND,BARLEY,2.143333333333333,0.8547767739786414,21,39.880720403358076
UTTAR PRADESH - KAUSHAMBI,MAIZE,1.8499999999999999,0.7360461942025106,51,39.78628076770328
MAHARASHTRA - NANDURBAR,MAIZE,1.959245283018868,0.7791288257668201,53,39.766783287405104
ODISHA - KENDRAPARA,RICE,1.6099999999999999,0.639740460767378,57,39.73543234579988
MADHYA PRADESH - RAJGARH,BARLEY,1.5775000000000001,0.6263501206866736,20,39.705237444480105
WEST BENGAL - HOWRAH,MAIZE,1.4766666666666666,0.5862342434857368,18,39.69983590196864
BIHAR - ARARIA,RICE,1.51265625,0.6002598437013068,64,39.682501804445444
MADHYA PRADESH - JABALPUR,WHEAT,2.275909090909091,0.9026714800334619,22,39.66201829585812
JHARKHAND - PALAMU,MAIZE,1.3727777777777779,0.5437971675883613,18,39.61290577333267
BIHAR - NAWADA,MAIZE,2.7270491803278687,1.0801193518346244,61,39.607622760392
UTTAR PRADESH - LALITPUR,MAIZE,1.1395833333333334,0.45092638140751456,24,39.56940824051316
WEST BENGAL - DINAJPUR UTTAR,MAIZE,4.987111111111111,1.9732813260960012,45,39.5676230613671
HIMACHAL PRADESH - HAMIRPUR,WHEAT,1.0723809523809524,0.42403896945805314,21,39.541822196354865
ODISHA - CUTTACK,RICE,1.807543859649123,0.7133078895984599,57,39.46282607697973
TAMIL NADU - KRISHNAGIRI,MAIZE,5.556190476190476,2.1914686312846827,21,39.44192771424266
MADHYA PRADESH - ASHOKNAGAR,WHEAT,2.028125,0.7998768134323352,16,39.439226548281546
MAHARASHTRA - LATUR,WHEAT,0.9904545454545454,0.3901584204827483,22,39.39185521165885
JHARKHAND - LOHARDAGA,MAIZE,1.873125,0.7376513968897053,16,39.380788622740354
ASSAM - KAMRUP,RICE,1.7565151515151516,0.6917258070034629,66,39.38057729856685
RAJASTHAN - JHALAWAR,RICE,1.8186363636363636,0.715989461578108,22,39.36957799229787
UTTAR PRADESH - PRATAPGARH,MAIZE,1.7632653061224488,0.6936178935933855,49,39.33712590981006
RAJASTHAN - BHILWARA,MAIZE,1.4472727272727273,0.5686172184567937,22,39.28887815970308
KARNATAKA - BELAGAVI,RICE,2.334418604651163,0.9171028459893774,43,39.2861350642989
TELANGANA - VIKARABAD,MAIZE,4.96,1.9473777240176082,6,39.26164766164533
BIHAR - GIRIDIH,MAIZE,1.8166666666666667,0.7131806690219993,6,39.25765150579812
JHARKHAND - LATEHAR,WHEAT,1.140625,0.4473994300398694,16,39.224059619933755
