State District,Crop,Area_Total,Producao_Total,Rendimento_Medio_Local
RAJASTHAN - DAUSA,WHEAT,1955876.0,6668978.0,3.3881818181818186
HARYANA - YAMUNANAGAR,WHEAT,1625566.0,6649700.0,4.0227272727272725
PUNJAB - RUPNAGAR,WHEAT,1648000.0,6649000.0,4.0636363636363635
CHHATTISGARH - RAJNANDGAON,RICE,5174367.0,6571615.0,1.2610526315789474
UTTAR PRADESH - ETAWAH,WHEAT,2006398.0,6523833.0,3.235909090909091
ODISHA - BALANGIR,RICE,4925108.0,6477729.0,1.6131578947368421
MADHYA PRADESH - CHHATARPUR,WHEAT,3232155.0,6460782.0,1.8772727272727272
MADHYA PRADESH - GWALIOR,WHEAT,2176876.0,6459317.0,2.877272727272727
HARYANA - GURGAON,WHEAT,1673301.0,6458000.0,4.046818181818182
UTTAR PRADESH - CHANDAULI,RICE,2395761.0,6449108.0,2.6854545454545455
MAHARASHTRA - KOLHAPUR,RICE,2297361.0,6446253.0,7.909999999999999
RAJASTHAN - CHITTORGARH,MAIZE,3197784.0,6433879.0,2.041363636363636
UTTAR PRADESH - AMBEDKAR NAGAR,RICE,2546308.0,6426827.0,2.520909090909091
CHHATTISGARH - DHAMTARI,RICE,3086643.0,6420110.0,2.024736842105263
UTTAR PRADESH - KUSHI NAGAR,RICE,2640644.0,6419212.0,2.4413043478260867
UTTARAKHAND - UDAM SINGH NAGAR,RICE,2126434.0,6415214.0,3.1631578947368424
UTTAR PRADESH - HARDOI,RICE,2978345.0,6394892.0,2.140487804878049
MAHARASHTRA - NASHIK,MAIZE,2129065.0,6392358.0,25.44359375
UTTAR PRADESH - GORAKHPUR,RICE,3320220.0,6378164.0,1.913170731707317
UTTAR PRADESH - SULTANPUR,RICE,2858595.0,6367455.0,2.2403703703703703
MADHYA PRADESH - REWA,WHEAT,3737473.0,6335974.0,1.6186363636363637
UTTAR PRADESH - JAUNPUR,RICE,3005421.0,6316333.0,2.1055555555555556
ODISHA - BHADRAK,RICE,3885933.0,6299926.0,1.831904761904762
UTTAR PRADESH - AMROHA,WHEAT,2050036.0,6278757.0,3.068636363636364
MADHYA PRADESH - MORENA,WHEAT,1971480.0,6254370.0,3.1036363636363635
ANDHRA PRADESH - VIZIANAGARAM,RICE,2693097.0,6173730.0,2.4945454545454546
UTTAR PRADESH - HATHRAS,WHEAT,1862160.0,6150762.0,3.3104545454545455
UTTAR PRADESH - LALITPUR,WHEAT,2708206.0,6116771.0,2.148181818181818
MADHYA PRADESH - GUNA,WHEAT,2792768.0,6099601.0,2.2254545454545456
MADHYA PRADESH - DATIA,WHEAT,2363411.0,6083762.0,2.4477272727272728
ODISHA - SONEPUR,RICE,3043084.0,6065112.0,2.143684210526316
PUNJAB - BARNALA,RICE,1285000.0,6027000.0,4.6866666666666665
MAHARASHTRA - BHANDARA,RICE,4135199.0,6021700.0,1.8227272727272728
WEST BENGAL - HOWRAH,RICE,2624397.0,5961155.0,2.3042424242424246
CHHATTISGARH - RAIGARH,RICE,4539863.0,5959470.0,1.313157894736842
HARYANA - JIND,RICE,2402880.0,5925000.0,2.4518181818181817
UTTAR PRADESH - FAIZABAD,WHEAT,2172672.0,5924714.0,2.712727272727273
MADHYA PRADESH - JABALPUR,WHEAT,2454611.0,5908945.0,2.275909090909091
ASSAM - SONITPUR,RICE,3572702.0,5900369.0,1.6793939393939394
RAJASTHAN - SIKAR,WHEAT,1970894.0,5891885.0,2.975909090909091
HARYANA - AMBALA,RICE,1702379.0,5843000.0,3.4063636363636363
BIHAR - KAIMUR (BHABUA),RICE,2303958.0,5841433.0,1.9896969696969695
ODISHA - KENDUJHAR,RICE,4355836.0,5829071.0,1.5933333333333333
MAHARASHTRA - THANE,RICE,2671600.0,5780864.0,2.289772727272727
WEST BENGAL - MURSHIDABAD,WHEAT,2343314.0,5769936.0,2.5142857142857142
MADHYA PRADESH - BHIND,WHEAT,2015796.0,5722036.0,2.6486363636363635
BIHAR - PASHCHIM CHAMPARAN,RICE,3406264.0,5717176.0,1.6496666666666668
UTTAR PRADESH - KANNAUJ,WHEAT,1651157.0,5707227.0,3.4536363636363636
UTTAR PRADESH - GONDA,RICE,2786544.0,5705561.0,2.0023333333333335
UTTAR PRADESH - MORADABAD,RICE,2531941.0,5693964.0,2.2487500000000002
MADHYA PRADESH - KHARGONE,WHEAT,1887616.0,5691637.0,2.7327272727272724
UTTAR PRADESH - FARRUKHABAD,WHEAT,1652308.0,5610406.0,3.397272727272727
ODISHA - SUNDARGARH,RICE,4506186.0,5607350.0,1.4092592592592592
GUJARAT - AHMADABAD,WHEAT,2814852.0,5596688.0,1.9
UTTAR PRADESH - DEORIA,RICE,2821787.0,5537817.0,2.001470588235294
CHHATTISGARH - KANKER,RICE,3281547.0,5495010.0,1.6642105263157896
MADHYA PRADESH - TIKAMGARH,WHEAT,2574880.0,5480054.0,1.9936363636363637
RAJASTHAN - BHILWARA,WHEAT,1949749.0,5468805.0,2.6768181818181818
UTTAR PRADESH - BANDA,WHEAT,3068652.0,5459493.0,1.7277272727272726
UTTAR PRADESH - MAU,WHEAT,2036699.0,5454554.0,2.6704545454545454
GUJARAT - KHEDA,RICE,2486422.0,5419866.0,2.618292682926829
MAHARASHTRA - AURANGABAD,MAIZE,2305077.0,5418862.0,1.9353968253968254
ANDHRA PRADESH - WEST GODAVARI,MAIZE,801477.0,5414820.0,5.3425
RAJASTHAN - UDAIPUR,MAIZE,3848809.0,5413697.0,1.4090909090909092
RAJASTHAN - BHILWARA,MAIZE,3700963.0,5378136.0,1.4472727272727273
UTTAR PRADESH - RAE BARELI,RICE,2591324.0,5371527.0,2.0841379310344825
RAJASTHAN - JHUNJHUNU,WHEAT,1602249.0,5356780.0,3.2804545454545457
RAJASTHAN - KARAULI,WHEAT,1497660.0,5323900.0,3.480909090909091
ODISHA - SAMBALPUR,RICE,3433538.0,5319910.0,1.9970175438596491
UTTAR PRADESH - SANT KABEER NAGAR,WHEAT,1949990.0,5277037.0,2.6977272727272728
BIHAR - BHOJPUR,RICE,2139918.0,5276883.0,1.8066071428571429
ASSAM - KAMRUP,RICE,2953735.0,5275766.0,1.7565151515151516
MAHARASHTRA - GONDIA,RICE,3487457.0,5270730.0,1.825128205128205
ANDHRA PRADESH - MAHBUBNAGAR,RICE,2175315.0,5257828.0,2.3890625
MADHYA PRADESH - RATLAM,WHEAT,1753611.0,5252512.0,2.9222727272727274
ODISHA - CUTTACK,RICE,3238069.0,5164880.0,1.807543859649123
MADHYA PRADESH - RAJGARH,WHEAT,2042613.0,5149725.0,2.062727272727273
CHHATTISGARH - BASTAR,RICE,3828435.0,5109358.0,1.3731578947368421
GUJARAT - SABAR KANTHA,WHEAT,1916705.0,5104084.0,2.5354545454545456
MADHYA PRADESH - MANDSAUR,WHEAT,1513149.0,5074303.0,3.005454545454546
KARNATAKA - BALLARI,MAIZE,1848688.0,5047023.0,2.7459090909090906
MADHYA PRADESH - NARSINGHPUR,WHEAT,1691496.0,5043456.0,2.9477272727272723
KARNATAKA - KOPPAL,RICE,1422717.0,5042118.0,3.4665116279069768
UTTAR PRADESH - BASTI,RICE,2443244.0,4994746.0,2.0300000000000002
ODISHA - NABARANGPUR,RICE,3520589.0,4983739.0,1.5785454545454547
RAJASTHAN - JHALAWAR,WHEAT,1560211.0,4981005.0,3.025
BIHAR - KATIHAR,MAIZE,1002967.0,4966075.0,4.213181818181818
KARNATAKA - MANDYA,RICE,1534559.0,4964884.0,3.1501639344262293
CHHATTISGARH - SURGUJA,RICE,4357299.0,4963507.0,1.2463157894736843
UTTAR PRADESH - HAMIRPUR,WHEAT,2065233.0,4953036.0,2.3504545454545456
ODISHA - PURI,RICE,3388712.0,4952379.0,1.6684
UTTAR PRADESH - BALRAMPUR,WHEAT,1915150.0,4931659.0,2.5895454545454544
UTTAR PRADESH - GHAZIABAD,WHEAT,1324694.0,4930864.0,3.771818181818182
BIHAR - SIWAN,WHEAT,2054629.0,4917404.0,2.3945454545454545
HARYANA - MAHENDRAGARH,WHEAT,1151393.0,4910500.0,4.245
ODISHA - KORAPUT,RICE,2920903.0,4905240.0,1.7066666666666668
HARYANA - YAMUNANAGAR,RICE,1423873.0,4898000.0,3.4
BIHAR - PURBI CHAMPARAN,WHEAT,2379953.0,4896673.0,2.0513636363636363
KERALA - PALAKKAD,RICE,2018228.29,4893921.0,2.509206349206349
TAMIL NADU - TIRUCHIRAPPALLI,RICE,1246760.0,4882938.0,3.9936000000000003
ASSAM - BARPETA,RICE,3349781.0,4872701.0,1.5363636363636364
BIHAR - SARAN,WHEAT,1947625.0,4853569.0,2.5036363636363634
BIHAR - PURBI CHAMPARAN,RICE,4009201.0,4846276.0,1.2874999999999999
MADHYA PRADESH - SHAJAPUR,WHEAT,1954740.0,4835670.0,2.369090909090909
UTTAR PRADESH - CHANDAULI,WHEAT,2099703.0,4802260.0,2.2645454545454546
TAMIL NADU - PUDUKKOTTAI,RICE,1822321.0,4796629.0,2.7908
UTTAR PRADESH - FAIZABAD,RICE,2044707.0,4773998.0,2.330454545454545
BIHAR - BANKA,RICE,2160039.0,4769181.0,2.0625
PUNJAB - HOSHIARPUR,RICE,1428000.0,4762000.0,3.3004545454545453
UTTAR PRADESH - BALLIA,RICE,2558402.0,4760676.0,1.8953846153846154
UTTAR PRADESH - LUCKNOW,WHEAT,1826987.0,4742976.0,2.5954545454545457
