State District,Crop,Rendimento_Medio,Precipitacao_Anual_Media,Precipitacao_Jun_Sep_Media,Temp_Media_JanFeb,Temp_Media_MarMay,Temp_Media_JunSep,Temp_Media_OctDec
GUJARAT - PANCH MAHALS,MAIZE,1.6894871794871795,1136.6923076923076,865.5358974358975,20.255641025641026,27.04076923076923,27.778205128205126,22.855128205128207
GUJARAT - PANCH MAHALS,RICE,1.8313157894736842,1136.0,862.1999999999999,20.18236842105263,26.928684210526313,27.696315789473687,22.71578947368421
GUJARAT - PANCH MAHALS,WHEAT,1.9277272727272725,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
GUJARAT - PATAN,MAIZE,1.97,1212.125,901.0500000000001,21.427500000000002,28.265,28.25,23.8075
GUJARAT - PATAN,RICE,2.67,1211.0,897.7,21.84,28.41,28.5,24.21
GUJARAT - PATAN,WHEAT,2.80875,1141.78125,869.5625,20.308125,27.000625,27.730625,22.775625
GUJARAT - PORBANDAR,MAIZE,1.3433333333333335,1071.4666666666667,797.1666666666666,20.16333333333333,26.976666666666663,27.756666666666664,22.55
GUJARAT - PORBANDAR,WHEAT,3.01625,1141.78125,869.5625,20.308125,27.000625,27.730625,22.775625
GUJARAT - RAJKOT,MAIZE,1.5692592592592591,1138.874074074074,861.3185185185184,20.349259259259256,27.101111111111113,27.787407407407407,22.876666666666665
GUJARAT - RAJKOT,WHEAT,3.5395454545454546,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
GUJARAT - SABAR KANTHA,MAIZE,2.033513513513513,1133.5945945945946,864.6162162162162,20.205405405405408,27.01189189189189,27.76162162162162,22.815135135135133
GUJARAT - SABAR KANTHA,RICE,2.1777272727272727,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
GUJARAT - SABAR KANTHA,WHEAT,2.5354545454545456,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
GUJARAT - SURAT,MAIZE,1.4661111111111111,1141.8138888888889,866.8555555555555,20.32638888888889,27.08638888888889,27.78861111111111,22.887222222222224
GUJARAT - SURAT,RICE,2.5551219512195122,1129.0365853658536,856.6878048780487,20.138048780487804,26.921951219512195,27.679756097560972,22.706829268292683
